313091000;Замок боковой (комплект);SP/56n;-;шт.;55,00;4
1034150;Замок боковой (комплект);SP/84;-;шт.;20,51;2
1033510;Замок боковой(комплект);SP/56;-;шт.;22,37;2
1030901;Замок боковой(комплект);SP/77E;-;шт.;48,47;4
1111400;Замок боковой(комплект);SP40/H;-;шт.;20,51;4
1111500;Замок боковой(комплект);SP55/H;-;шт.;18,64;4
1031112;Замок ригельный;RL;-;шт.;1369,38;2
1031111;Замок ригельный;RL/77;-;шт.;1604,29;2
1030802;Захват концевой;SH/77;-;к-т;1082,26;4
1144512;Инерционный тормоз;IB/147;00;шт.;10328,60;4
1144513;Инерционный тормоз;IB/95-17;-;шт.;9913,77;3
324012100;Исполнительное устройство;Nero 8013 IP55;-;шт.;7113,50;2
1150730;Исполнительное устройство;Nero 8013L;-;шт.;8707,53;2
1150720;Исполнительное устройство;Nero 8013UP;-;шт.;6670,71;2
1152611;Исполнительное устройство;Nero II 8413-50;-;шт.;13964,12;4
1152612;Исполнительное устройство ;Nero ll 8413 UP;-;шт.;11929,16;4
1151950;Исполнительное устройство с радио;Intro II 8513-50;-;шт.;0,00;4
1141561;Кабель питающий;Cab Altus/Oximo RTS;-;шт.;2084,36;4
1141551;Кабель питающий ;Cab LT50/LT60;-;шт.;1031,00;4
322027000;Кабель питающий для NHK;Cab LT50/LT60B NHK;-;шт.;0,00;0
1110310;Капсула подшипниковая;BBC40;-;шт.;51,27;2
1110330;Капсула подшипниковая;BBC60;-;шт.;91,36;2
1110106;Капсула регулируемая;APB102/B;-;шт.;1848,52;2
1110108;Капсула регулируемая;APB102/S;-;шт.;0,00;2
1110101;Капсула регулируемая;APB60;-;шт.;922,86;2
1110102;Капсула регулируемая;APB60AL;-;шт.;1018,88;2
1110103;Капсула регулируемая;APB70;-;шт.;969,47;2
1110104;Капсула регулируемая;APB70AL;-;шт.;1252,85;2
1100901;Капсула редукторная;BP40x13AL;-;шт.;807,27;3
1100902;Капсула редукторная;BP60x13AL;-;шт.;912,60;3
1110320;Капсула редукторная;GC40;-;шт.;51,27;2
1110340;Капсула редукторная;GC60;-;шт.;91,36;2
1110200;Капсула универсальная;KU40;-;шт.;106,27;2
1110300;Капсула универсальная;KU60;-;шт.;226,52;2
1100302;Кардан 50°;CJ8/S;-;шт.;2563,51;4
1142913;Кардан 70;CJ7-1000/P;-;шт.;4044,75;2
1141410;Кардан 70°;CJ7;-;шт.;2715,46;2
1141415;Кардан 70°;CJ7/P;-;шт.;3462,13;2
1141412;Кардан 90°;CJ7M;-;шт.;4849,22;2
1100300;Кардан 90°;CJ8;-;шт.;3042,65;2
1100305;Кардан 90°;CJ8-1000;-;шт.;3333,49;2
306126100;Каретка подвижная;RC;-;пара;5669,54;2
1070960;Каретка подвижная;RC205;-;пара;8427,88;2
1071160;Каретка подвижная;RC250S;-;пара;0,00;2
303033700;Каретка подвижная;RC360/108;-;пара;26634,37;4
303020700;Каретка подвижная;RC360/C;-;пара;18867,41;2
307112000;Клипса;GRX53;-;к-т;51,27;2
1100701;Клипса пружинная;CL;01;шт.;79,23;2
1113034;Кольцо дистанционное;RD102;-;шт.;140,76;2
1113031;Кольцо дистанционное;RD40;-;шт.;41,94;2
1113032;Кольцо дистанционное;RD60;-;шт.;68,05;2
1113033;Кольцо дистанционное;RD70;-;шт.;56,86;2
311003000;Кольцо дистанционное;RDS70/77;-;шт.;661,85;2
1142510;Кольцо ограничительное;RN 30;-;шт.;3886,27;4
1144400;Кольцо переходное;RF/70;-;к-т;138,90;2
1113101;Кольцо ригельное;R40;-;шт.;56,86;2
1113102;Кольцо ригельное;R60;-;шт.;56,86;2
1113103;Кольцо ригельное;R70;-;шт.;79,23;2
311018000;Кольцо ригельное;R70/S;-;шт.;150,08;3
1031660;Консоль ;KN SC;-;шт.;23641,12;4
303019700;Консоль несущая;CCM;-;пара;10508,51;2
1091800;Корд;RP3;-;м;262,88;2
305117201;Короб защитный роллетный;SB-QR/137;201;м;2044,28;2
305117202;Короб защитный роллетный;SB-QR/137;202;м;2044,28;3
305117203;Короб защитный роллетный;SB-QR/137;203;м;2044,28;4
305117204;Короб защитный роллетный;SB-QR/137;204;м;2044,28;2
305117208;Короб защитный роллетный;SB-QR/137;208;м;2044,28;3
305117213;Короб защитный роллетный;SB-QR/137;213;м;2145,89;4
305117221;Короб защитный роллетный;SB-QR/137;221;м;2044,28;4
305117222;Короб защитный роллетный;SB-QR/137;222;м;2044,28;3
305118201;Короб защитный роллетный;SB-QR/150;201;м;2059,19;3
305118202;Короб защитный роллетный;SB-QR/150;202;м;2059,19;3
305118203;Короб защитный роллетный;SB-QR/150;203;м;2059,19;4
305118204;Короб защитный роллетный;SB-QR/150;204;м;2059,19;3
305118208;Короб защитный роллетный;SB-QR/150;208;м;2059,19;2
305118213;Короб защитный роллетный;SB-QR/150;213;м;2163,60;4
305118221;Короб защитный роллетный;SB-QR/150;221;м;2059,19;4
305118222;Короб защитный роллетный;SB-QR/150;222;м;2059,19;3
305119201;Короб защитный роллетный;SB-QR/165;201;м;2225,12;2
305119202;Короб защитный роллетный;SB-QR/165;202;м;2225,12;2
305119203;Короб защитный роллетный;SB-QR/165;203;м;2225,12;3
305119204;Короб защитный роллетный;SB-QR/165;204;м;2225,12;2
305119208;Короб защитный роллетный;SB-QR/165;208;м;2225,12;3
305119213;Короб защитный роллетный;SB-QR/165;213;м;2337,92;4
305119221;Короб защитный роллетный;SB-QR/165;221;м;2225,12;4
305119222;Короб защитный роллетный;SB-QR/165;222;м;2225,12;3
305120201;Короб защитный роллетный;SB-QR/180;201;м;2395,71;2
305120202;Короб защитный роллетный;SB-QR/180;202;м;2395,71;2
305120203;Короб защитный роллетный;SB-QR/180;203;м;2395,71;3
305120204;Короб защитный роллетный;SB-QR/180;204;м;2395,71;2
305120208;Короб защитный роллетный;SB-QR/180;208;м;2395,71;3
305120213;Короб защитный роллетный;SB-QR/180;213;м;2515,04;4
305120219;Короб защитный роллетный;SB-QR/180;219;м;2515,04;3
305120221;Короб защитный роллетный;SB-QR/180;221;м;2395,71;4
305120222;Короб защитный роллетный;SB-QR/180;222;м;2395,71;3
305120239;Короб защитный роллетный;SB-QR/180;239;м;2515,04;4
305121201;Короб защитный роллетный;SB-QR/205;201;м;3420,18;2
